#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,-75.61713736062185,261.0343439509387,0
50000,-56.05545680542785,233.59691953066442,30.9
75000,-93.00935469339213,435.51595000956075,31
100000,-71.6973420729484,270.7726027234622,31.2
125000,-75.09979824639844,258.88822979283344,31.3
150000,-89.08555379441786,215.9262818829179,31.4
175000,-92.68969468014093,281.32858256963124,31.4
200000,-70.99582284671067,237.68068525208832,31.5
225000,-85.4256636180774,252.77480729825936,31.5
250000,-98.29834301994302,192.9779142527353,31.5
275000,-80.58011057176938,297.19364460000617,31.5
300000,-82.6642459617857,505.91679636876984,31.5
325000,-73.24510390035263,328.53938581720934,31.5
350000,-98.92022460867284,233.17916446082083,31.6
375000,-73.64737579154956,279.10198057063894,31.5
400000,-92.74504209728352,328.1561127070072,31.5
425000,-56.39043324673258,258.0171637646501,31.5
450000,-80.0471030164719,350.0630973988471,31.5
475000,-84.24113450190083,229.30464926543226,31.5
500000,-79.88597830097765,321.4072062633063,31.5
525000,-74.47037224269319,300.37663269116257,31.5
550000,-85.64304073104502,316.1239156571149,31.5
575000,-59.921774062056045,303.01373128361604,31.5
600000,-54.322073164037384,302.507066485292,31.5
625000,-61.65006757198757,291.05432045443445,31.6
650000,-68.35572726806731,257.2786996841463,31.5
675000,-54.87030098451406,172.04406942444533,31.6
700000,-65.09326082217106,292.16041538740126,31.6
725000,-83.10954576120758,233.7530763205093,31.6
750000,-80.63892323679204,312.8612667484626,31.6
775000,-78.36108967543161,314.6891186935752,31.6
800000,-66.8869424314994,313.3250633430819,31.6
825000,-82.36580517341618,216.13183027122565,31.6
850000,-95.41682489471184,210.47805947324082,31.6
875000,-93.3409156834407,314.89315455964544,31.6
900000,-60.14330353977834,287.1287431107882,31.6
925000,-67.78379061653465,259.7585448807384,31.6
950000,-69.527801436656,228.68167895735212,31.6
975000,-60.102176154872076,224.41597267006813,31.6
1000000,-82.43385569364776,213.84123362402482,31.6
1025000,-75.12110250781348,237.95718689763729,31.6
1050000,-76.28096970450909,244.86249969988089,31.6
1075000,-91.74147795968021,410.37325738826814,31.6
1100000,-89.95118254837492,442.46225955185133,31.6
1125000,-78.15458796398963,324.82468030332865,31.6
1150000,-82.99357598517311,271.0584697893835,31.6
1175000,-89.22685582478044,262.51969865143013,31.6
1200000,-82.46866361262042,247.7427732163474,31.6
1225000,-81.6994119332484,315.83847204290146,31.6
1250000,-67.82874815773314,332.07729991587786,31.6
1275000,-75.73169664675328,303.6569646947695,31.6
1300000,-87.20242408398029,360.3414534172671,31.6
1325000,-70.60267256841551,368.10367587393455,31.6
1350000,-76.89232109593921,210.7146158016393,31.6
1375000,-72.27739878546606,358.3574043853239,31.6
1400000,-76.13077628729658,365.3999262724731,31.6
1425000,-85.3908696803996,324.01000348641145,31.6
1450000,-80.38042328945153,275.5368353774544,31.6
1475000,-63.65279775870539,365.85754345406764,31.6
1500000,-88.63745989885027,305.0361264909362,31.6
1525000,-83.30241617494443,253.06088840130448,31.6
1550000,-84.01702608408891,314.89877762460947,31.6
1575000,-77.84978834115307,314.7975907745636,31.6
1600000,-74.53383442002833,269.4325571096197,31.6
1625000,-72.90159105221355,330.545969968949,31.6
1650000,-57.58177695137067,322.58866460324134,31.6
1675000,-70.3610800318644,421.22388185465326,31.6
1700000,-84.97979216843376,226.72289566947683,31.6
1725000,-72.1075826800444,187.6035914698099,31.6
1750000,-85.12072349716102,380.75083653564025,31.7
1775000,-83.52405185932952,266.5824348189989,31.7
1800000,-98.76257042069457,287.4731086886802,31.7
1825000,-85.59413118046082,320.8789314971518,31.7
1850000,-70.64522019195198,351.20430721760164,31.7
1875000,-58.90557322697621,311.70487912230897,31.7
1900000,-77.60412540089041,223.0927873699329,31.7
1925000,-89.52763792012463,233.21315579266897,31.7
1950000,-91.61196105453187,300.5611007607424,31.7
1975000,-68.43111094480729,272.14945951731085,31.7
2000000,-61.65122480604855,332.43617513129925,31.7
2025000,-65.05993827371944,219.1333722281069,31.7
2050000,-82.03403785797363,387.0593618959229,31.7
2075000,-78.9573092616497,241.15325657231176,31.7
2100000,-75.74629018070928,250.92009673007297,31.7
2125000,-87.04766721389755,291.68770083111593,31.7
2150000,-81.16624922508578,263.975044314763,31.7
