system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,pca,100,0,3,2,3,0.4901815641730046,12,0.1645084481207343,3,0.4901815641730046,3,0.4901815641730046,2,0.7019068242816332,0.4901815641730046
alanine,short,pca,100,1,3,2,4,0.5851756825673893,15,0.1928576052908103,2,0.8812419399598427,2,0.8812419399598427,2,0.8812419399598427,0.536202009791291
alanine,short,pca,100,2,3,2,3,0.5742229289409922,8,0.16246288468535647,3,0.5742229289409922,3,0.5742229289409922,3,0.5742229289409922,0.5742229289409922
alanine,short,pca,100,3,3,2,3,0.4761760616738712,10,0.1672139337131703,2,0.874475423256028,2,0.874475423256028,2,0.874475423256028,0.4761760616738712
alanine,short,pca,100,4,3,2,4,0.5593044877027151,15,0.11100345228785596,4,0.5593044877027151,3,0.5574300975179076,3,0.5574300975179076,0.5574300975179076
alanine,short,pca,100,5,3,2,3,0.6697366372259882,12,0.12130065699644588,3,0.6697366372259882,3,0.6697366372259882,2,0.7557207183795354,0.6697366372259882
alanine,short,pca,100,6,3,2,3,0.3277926765811431,15,0.08428106179181803,3,0.3277926765811431,3,0.3277926765811431,3,0.3277926765811431,0.3277926765811431
alanine,short,pca,100,7,3,2,4,0.5335775533691018,8,0.3048260680067076,4,0.5335775533691018,4,0.5335775533691018,2,0.6690636805379029,0.550114781287288
alanine,short,tica,100,0,3,2,1,0.0,14,0.06943751019540577,1,0.0,3,0.44649158823131974,3,0.44649158823131974,0.44649158823131974
alanine,short,tica,100,1,3,2,1,0.0,14,0.00483718443189076,1,0.0,7,0.05879891296127299,3,0.0920933483724403,0.0920933483724403
alanine,short,tica,100,2,3,2,2,0.8333574424996384,13,0.12839069518354665,2,0.8333574424996384,2,0.8333574424996384,2,0.8333574424996384,0.8371369275051979
alanine,short,tica,100,3,3,2,1,0.0,12,0.0903514606861707,1,0.0,3,0.21273617914625612,3,0.21273617914625612,0.21273617914625612
alanine,short,tica,100,4,3,2,1,0.0,15,-0.003599472688714392,1,0.0,3,-0.003160548680840522,3,-0.003160548680840522,-0.003160548680840522
alanine,short,tica,100,5,3,2,1,0.0,13,-0.013120453048122345,1,0.0,2,-0.03217091336019909,2,-0.03217091336019909,-0.029079225695609272
