system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,pca,100,0,3,3,4,0.5998743243669147,14,0.17925453425420837,3,0.8363434919690553,3,0.8363434919690553,2,0.9834345543686985,0.8363434919690553
alanine,short,pca,100,1,3,2,3,0.29357798165137616,15,0.05882644710083825,3,0.29357798165137616,3,0.29357798165137616,3,0.29357798165137616,0.29357798165137616
alanine,short,pca,100,2,3,2,3,0.5977817527580173,15,0.11240478480124026,3,0.5977817527580173,3,0.5977817527580173,3,0.5977817527580173,0.5977817527580173
alanine,short,pca,100,3,3,1,2,0.0,14,0.0,2,0.0,2,0.0,2,0.0,0.0
alanine,short,pca,100,4,3,2,3,0.13935347912558155,15,0.03397726088635607,3,0.13935347912558155,2,-0.029454859676146822,2,-0.029454859676146822,0.13935347912558155
alanine,short,pca,100,5,3,2,3,0.7478102816134852,12,0.17804174847711723,3,0.7478102816134852,2,0.9587130293945033,2,0.9587130293945033,0.7478102816134852
alanine,short,pca,100,6,3,2,4,0.04841941853018171,13,0.009312545777963796,4,0.04841941853018171,2,-0.02249398896507448,2,-0.02249398896507448,0.023542449290746614
alanine,short,pca,100,7,3,2,3,0.47195527150535105,4,0.4598249234929898,3,0.47195527150535105,3,0.47195527150535105,3,0.47195527150535105,0.47195527150535105
alanine,short,tica,100,0,3,3,1,0.0,15,0.007012790431932937,1,0.0,3,0.003036694232256655,3,0.003036694232256655,0.003036694232256655
alanine,short,tica,100,1,3,2,2,0.12171753016323633,14,0.004694722067613678,2,0.12171753016323633,2,0.12171753016323633,3,0.040447414897669426,0.040447414897669426
alanine,short,tica,100,2,3,2,2,-0.029435223517794068,15,0.1620482037402777,1,0.0,5,0.28189509802887464,3,0.2800880733529524,0.2800880733529524
alanine,short,tica,100,3,3,1,1,1.0,14,0.0,1,1.0,5,0.0,3,0.0,0.0
alanine,short,tica,100,4,3,2,1,0.0,15,0.0073826738883476664,1,0.0,3,0.025933667120743985,2,-0.036735798464907495,0.025933667120743985
alanine,short,tica,100,5,3,2,4,0.8338199152192918,14,0.13627701329848918,4,0.8338199152192918,2,0.8786413288262671,2,0.8786413288262671,0.8261604502268743
alanine,short,tica,100,6,3,2,1,0.0,15,-0.003404648414729551,1,0.0,3,0.004563602232263405,3,0.004563602232263405,0.004563602232263405
alanine,short,tica,100,7,3,2,1,0.0,14,0.003920789591077545,1,0.0,5,0.010646193325478323,2,-0.005419570186510658,-0.002619803943146383
alanine,short,vae,100,0,3,3,1,0.0,1,0.0,1,0.0,4,0.4672611518643369,2,0.9834345543686985,0.5142098854316199
alanine,short,vae,100,1,3,2,1,0.0,1,0.0,1,0.0,3,0.3314134439952778,3,0.3314134439952778,0.3314134439952778
alanine,short,vae,100,2,3,2,1,0.0,15,0.06321887261023207,1,0.0,3,0.43495452155761033,2,0.6677239700512669,0.43495452155761033
alanine,short,vae,100,3,3,1,1,1.0,1,1.0,1,1.0,3,0.0,2,0.0,0.0
alanine,short,vae,100,4,3,2,1,0.0,1,0.0,1,0.0,3,0.049854112464098065,3,0.049854112464098065,0.049854112464098065
alanine,short,vae,100,5,3,2,1,0.0,1,0.0,1,0.0,2,0.05747772971593595,3,0.39091501041414994,0.39091501041414994
alanine,short,vae,100,6,3,2,1,0.0,13,0.011096248730993692,1,0.0,2,0.009367177838977735,2,0.009367177838977735,-0.0013757535368719748
alanine,short,vae,100,7,3,2,1,0.0,15,0.06577031068568738,1,0.0,2,0.3561731400953923,2,0.3561731400953923,0.23203855677284096
alanine,short,pca,250,0,3,3,4,0.6225149286837807,6,0.5492462037584636,3,0.7836800881566658,3,0.7836800881566658,2,0.9245412103732139,0.7836800881566658
