system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,pca,100,0,3,2,3,0.08147079906660046,15,0.011562087029886661,2,-0.02980826842420611,2,-0.02980826842420611,2,-0.02980826842420611,0.08147079906660046
alanine,short,pca,100,1,3,2,3,0.6511224513988245,15,0.17811009720604443,3,0.6511224513988245,2,1.0,2,1.0,0.6511224513988245
alanine,short,pca,100,2,3,2,2,-0.030159032968557604,4,0.01813234776996019,2,-0.030159032968557604,2,-0.030159032968557604,2,-0.030159032968557604,0.02042936718674401
alanine,short,pca,100,3,3,2,2,0.046221570066030816,15,0.0013709308889545979,1,0.0,2,0.046221570066030816,2,0.046221570066030816,0.010490693739424704
alanine,short,pca,100,4,3,2,3,0.18438936678858217,15,0.022796709753231493,3,0.18438936678858217,2,-0.0508101101749838,2,-0.0508101101749838,0.18438936678858217
alanine,short,pca,100,5,3,2,3,0.27913291289178094,15,0.05059845280190245,3,0.27913291289178094,3,0.27913291289178094,3,0.27913291289178094,0.27913291289178094
alanine,short,pca,100,6,3,2,4,0.03379478219315144,13,0.004830917874396135,4,0.03379478219315144,2,-0.007201490658206174,2,-0.007201490658206174,0.02935713314909618
alanine,short,pca,100,7,3,3,3,0.34757495137141814,15,0.059198354936868945,3,0.34757495137141814,3,0.34757495137141814,3,0.34757495137141814,0.34757495137141814
alanine,short,tica,100,0,3,2,1,0.0,15,0.0073089398269756125,1,0.0,13,0.003611947512458933,2,0.019004557169738968,0.02073528003749526
alanine,short,tica,100,1,3,2,1,0.0,15,0.013241735840208761,1,0.0,11,0.01526753466686877,3,0.009465494182126296,0.009465494182126296
alanine,short,tica,100,2,3,2,1,0.0,7,0.005053173837478943,1,0.0,5,-0.002237478868050032,3,0.015282395551412614,0.015282395551412614
alanine,short,tica,100,3,3,2,1,0.0,15,-0.0004742856631497937,1,0.0,2,-0.014109347442680775,2,-0.014109347442680775,-0.007193190641527124
alanine,short,tica,100,4,3,2,1,0.0,12,-0.0009312890403180012,1,0.0,15,-9.120826297560795e-05,3,-0.023292348202530514,-0.023292348202530514
alanine,short,tica,100,5,3,2,1,0.0,15,0.009693347856193454,1,0.0,2,-0.021551745544057834,3,0.0194535840858998,0.0194535840858998
alanine,short,tica,100,6,3,2,1,0.0,13,-0.0010425604546670725,1,0.0,2,-0.015873015873015872,3,-0.004248744689069139,-0.004248744689069139
alanine,short,tica,100,7,3,3,2,0.7089676060803427,15,0.04806555056505848,2,0.7089676060803427,2,0.7089676060803427,2,0.7089676060803427,0.19677702237684414
alanine,short,vae,100,0,3,2,1,0.0,1,0.0,1,0.0,2,0.007493599095377873,2,0.007493599095377873,0.010323082049948779
alanine,short,vae,100,1,3,2,1,0.0,1,0.0,1,0.0,2,0.5421764838938072,2,0.5421764838938072,0.44637689340392017
alanine,short,vae,100,2,3,2,1,0.0,1,0.0,1,0.0,2,-0.0022703549567796725,2,-0.0022703549567796725,-0.010400997436529273
alanine,short,vae,100,3,3,2,1,0.0,1,0.0,1,0.0,3,-0.0007444562418384408,3,-0.0007444562418384408,-0.0007444562418384408
alanine,short,vae,100,4,3,2,1,0.0,1,0.0,1,0.0,4,0.06176129255904384,2,-0.0019077502353310324,-0.009974840905727395
alanine,short,vae,100,5,3,2,1,0.0,5,0.17651984152105388,1,0.0,3,0.23830300841431856,2,-0.0484687157731287,0.23830300841431856
alanine,short,vae,100,6,3,2,1,0.0,15,0.002129752461398237,1,0.0,3,0.0035270139982181868,2,-0.00491035742834304,0.0035270139982181868
alanine,short,vae,100,7,3,3,1,0.0,1,0.0,1,0.0,3,0.1504797024687939,2,0.009292929292929294,0.1504797024687939
alanine,short,pca,250,0,3,2,4,0.10701000346537991,13,0.029969524960782486,3,0.17373722081919796,3,0.17373722081919796,2,-0.04936764389412174,0.17373722081919796
alanine,short,pca,250,1,3,2,4,0.44615293587410765,6,0.30435977616970084,3,0.5312849609624224,3,0.5312849609624224,3,0.5312849609624224,0.5312849609624224
alanine,short,pca,250,2,3,2,4,0.6275556062841285,11,0.13888171995439103,4,0.6275556062841285,4,0.6275556062841285,2,0.9021337812460567,0.6876898100293508
