system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,pca,100,0,3,2,4,0.5270385448050261,15,0.20638462050484307,2,0.9599978058178152,3,0.7180106837428702,2,0.9599978058178152,0.7180106837428702
alanine,short,pca,100,1,3,1,2,0.0,15,0.0,2,0.0,2,0.0,2,0.0,0.0
alanine,short,pca,100,2,3,2,4,0.4542769896455698,15,0.10722667951583435,4,0.4542769896455698,4,0.4542769896455698,2,0.8067222911897917,0.4971547532483056
alanine,short,pca,100,3,3,2,3,0.6453947474463293,13,0.20870945834595253,3,0.6453947474463293,3,0.6453947474463293,3,0.6453947474463293,0.6453947474463293
alanine,short,pca,100,4,3,2,3,0.8627059410883674,14,0.16140929765238615,3,0.8627059410883674,2,0.9581004941756224,2,0.9581004941756224,0.8627059410883674
alanine,short,pca,100,5,3,1,2,0.0,9,0.0,2,0.0,2,0.0,2,0.0,0.0
alanine,short,pca,100,6,3,2,3,0.612950527156769,9,0.2765197273388341,3,0.612950527156769,3,0.612950527156769,2,0.8448373142749671,0.612950527156769
alanine,short,pca,100,7,3,2,3,0.5649142270585247,14,0.09819121447028424,3,0.5649142270585247,3,0.5649142270585247,3,0.5649142270585247,0.5649142270585247
alanine,short,tica,100,0,3,2,2,1.0,14,0.19447419654533726,2,1.0,3,0.78139775892221,3,0.78139775892221,0.78139775892221
alanine,short,tica,100,1,3,1,1,1.0,14,0.0,1,1.0,12,0.0,2,0.0,0.0
alanine,short,tica,100,2,3,2,1,0.0,15,-0.00671231399611818,1,0.0,2,-0.035162928295884355,2,-0.035162928295884355,-0.01398197786897485
alanine,short,tica,100,3,3,2,1,0.0,15,0.0809851405952215,1,0.0,13,0.08716365574792544,2,0.20246459444546624,0.08747632338650932
alanine,short,tica,100,4,3,2,2,0.9581004941756224,15,0.1386232381710755,2,0.9581004941756224,2,0.9581004941756224,2,0.9581004941756224,0.8090969687570462
alanine,short,tica,100,5,3,1,2,0.0,13,0.0,2,0.0,2,0.0,2,0.0,0.0
alanine,short,tica,100,6,3,2,1,0.0,14,0.08304042699235485,1,0.0,2,0.4039857626162955,2,0.4039857626162955,0.3716574454596748
alanine,short,tica,100,7,3,2,2,0.956177368045186,15,0.09259641163126418,2,0.956177368045186,2,0.956177368045186,2,0.956177368045186,0.48248267392759536
alanine,short,vae,100,0,3,2,1,0.0,1,0.0,1,0.0,2,0.9208056373456518,2,0.9208056373456518,0.6530403533661502
alanine,short,vae,100,1,3,1,1,1.0,1,1.0,1,1.0,5,0.0,2,0.0,0.0
alanine,short,vae,100,2,3,2,1,0.0,11,0.1872060194259528,1,0.0,3,0.4582932873582064,3,0.4582932873582064,0.4582932873582064
alanine,short,vae,100,3,3,2,1,0.0,1,0.0,1,0.0,2,0.5733333333333334,2,0.5733333333333334,0.3587013966058474
alanine,short,vae,100,4,3,2,1,0.0,1,0.0,1,0.0,3,0.3319883106096682,2,0.3059799685075603,0.3319883106096682
alanine,short,vae,100,5,3,1,1,1.0,14,0.0,1,1.0,3,0.0,2,0.0,0.0
