potential,method,n_frames,dim,seed,k_true,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,pca,500,2,0,4,7,0.5428358973062757,15,0.3428966797954825,7,0.5428358973062757,4,0.8458198598571919,2,0.4784557451832554,0.8458198598571919,False,5.733157157897949
prinz1d,pca,500,2,1,4,9,0.5075072387560019,12,0.4319532459442387,6,0.6860290551952475,4,0.9015443857957814,2,0.4929471053260092,0.9015443857957814,False,5.128289699554443
prinz1d,pca,500,2,2,4,8,0.6222998624821157,13,0.44248735228748964,6,0.7462286330778939,4,0.9481084744898618,2,0.49852670838417146,0.9481084744898618,False,4.878038167953491
prinz1d,pca,500,2,3,4,9,0.4903701588502088,10,0.4711710868929515,6,0.6856457932666221,4,0.9270220325672701,2,0.4861455580358383,0.9270220325672701,False,4.882575273513794
prinz1d,pca,500,2,4,4,8,0.5728827397350893,14,0.3720212406066791,6,0.7340518300348344,4,0.9129452922200474,2,0.4852868552127195,0.9129452922200474,False,3.8709330558776855
prinz1d,pca,500,2,5,4,7,0.665976227158069,14,0.39110337014261415,5,0.8586639451799364,4,0.965920779024208,2,0.49218443975537657,0.965920779024208,False,4.3260393142700195
prinz1d,pca,500,2,6,4,10,0.4329100825655183,13,0.33724424363903616,5,0.7285054511948601,4,0.9206488068460117,2,0.49325059967982593,0.9206488068460117,False,5.486836910247803
prinz1d,pca,500,2,7,4,10,0.4531484788254492,15,0.36067932183744006,6,0.7000810916080024,4,0.9053872265302431,2,0.4855385253195818,0.9053872265302431,False,5.027499198913574
prinz1d,pca,500,2,8,4,9,0.563920696692269,15,0.3408393770514359,5,0.7495051373267538,4,0.905609513252054,2,0.47446258922791834,0.905609513252054,False,5.052541017532349
prinz1d,pca,500,2,9,4,8,0.5761652035847931,12,0.42820386789459697,7,0.6564720234066067,4,0.8422843202163597,2,0.5223926155103304,0.8422843202163597,False,4.792416334152222
prinz1d,pca,500,3,0,4,8,0.54775619175511,15,0.36087384038769743,7,0.5400744801445609,4,0.8695175814247514,2,0.4784557451832554,0.8695175814247514,False,1.5186069011688232
prinz1d,pca,500,3,1,4,8,0.6039727787663259,15,0.3553069937640339,8,0.6039727787663259,4,0.9243294666644336,2,0.4929471053260092,0.9243294666644336,False,1.394526720046997
prinz1d,pca,500,3,2,4,9,0.574344909955221,15,0.40108514426742875,7,0.6428431689000537,4,0.9595621096982486,2,0.49852670838417146,0.9595621096982486,False,1.2900769710540771
prinz1d,pca,500,3,3,4,9,0.4929809713125809,15,0.3722892373165691,7,0.5881408816263669,4,0.9301060857631426,2,0.4861455580358383,0.9301060857631426,False,1.429443120956421
prinz1d,pca,500,3,4,4,10,0.526052943049047,12,0.44039265788630355,7,0.6641966843998366,4,0.9341413123378323,2,0.4891965763136733,0.9341413123378323,False,1.4171621799468994
prinz1d,pca,500,3,5,4,9,0.5750140232244478,15,0.392352712042191,9,0.5750140232244478,4,0.9777806665152792,2,0.49608868685562196,0.9777806665152792,False,1.6142706871032715
prinz1d,pca,500,3,6,4,8,0.5338567123072765,12,0.35235112115129835,8,0.5338567123072765,4,0.9055674362509379,2,0.49325059967982593,0.9055674362509379,False,1.651970624923706
prinz1d,pca,500,3,7,4,8,0.5718638166372357,14,0.4002653680792699,8,0.5718638166372357,4,0.9053872265302431,2,0.4855385253195818,0.9053872265302431,False,1.3734557628631592
prinz1d,pca,500,3,8,4,9,0.5485071763642906,15,0.3636427026570844,8,0.530250897579036,4,0.9731963943930141,2,0.47446258922791834,0.9731963943930141,False,1.371227502822876
prinz1d,pca,500,3,9,4,9,0.565444768737218,13,0.4280934631776406,7,0.6572689110438914,4,0.9277137798716897,2,0.5271458089834636,0.9277137798716897,False,1.3576998710632324
prinz1d,pca,500,5,0,4,7,0.5854449155121201,14,0.36227434658635493,6,0.620955917109047,4,0.8870943369596926,2,0.4784557451832554,0.8870943369596926,False,1.4894468784332275
prinz1d,pca,500,5,1,4,6,0.6330359158012664,14,0.38657380557686094,6,0.6330359158012664,4,0.9185713677523619,2,0.4929471053260092,0.9185713677523619,False,1.712717056274414
prinz1d,pca,500,5,2,4,7,0.6414137043196659,14,0.4198131184657549,7,0.6414137043196659,4,0.9618498683566237,2,0.49852670838417146,0.9618498683566237,False,1.346886157989502
prinz1d,pca,500,5,3,4,8,0.5284041139812673,15,0.346118128234282,7,0.6175209226470899,4,0.949074149167092,2,0.4861455580358383,0.949074149167092,False,1.4255497455596924
prinz1d,pca,500,5,4,4,7,0.6570166649231145,15,0.3848771566789733,7,0.6570166649231145,4,0.9523506113115268,2,0.4891965763136733,0.9523506113115268,False,1.4716970920562744
prinz1d,pca,500,5,5,4,7,0.632137826341662,15,0.3526411956465189,5,0.7880721389852179,4,0.989619178089045,2,0.49608868685562196,0.989619178089045,False,1.3813261985778809
