potential,mode,method,n_frames,seed,k_true,k_bic,hit_ceiling_bic
mueller_brown,iid_equilibrium,exact_latent,250,0,3,3,0
mueller_brown,iid_equilibrium,exact_latent,500,0,3,4,0
mueller_brown,iid_equilibrium,exact_latent,1000,0,3,3,0
mueller_brown,iid_equilibrium,exact_latent,2000,0,3,3,0
mueller_brown,iid_equilibrium,exact_latent,4000,0,3,5,0
mueller_brown,iid_equilibrium,exact_latent,8000,0,3,5,0
mueller_brown,iid_equilibrium,exact_latent,16000,0,3,7,0
mueller_brown,iid_equilibrium,exact_latent,32000,0,3,9,0
mueller_brown,iid_equilibrium,exact_latent,250,1,3,3,0
mueller_brown,iid_equilibrium,exact_latent,500,1,3,4,0
mueller_brown,iid_equilibrium,exact_latent,1000,1,3,4,0
mueller_brown,iid_equilibrium,exact_latent,2000,1,3,5,0
mueller_brown,iid_equilibrium,exact_latent,4000,1,3,4,0
mueller_brown,iid_equilibrium,exact_latent,8000,1,3,5,0
mueller_brown,iid_equilibrium,exact_latent,16000,1,3,7,0
mueller_brown,iid_equilibrium,exact_latent,32000,1,3,8,0
mueller_brown,iid_equilibrium,exact_latent,250,2,3,3,0
mueller_brown,iid_equilibrium,exact_latent,500,2,3,4,0
mueller_brown,iid_equilibrium,exact_latent,1000,2,3,4,0
mueller_brown,iid_equilibrium,exact_latent,2000,2,3,4,0
mueller_brown,iid_equilibrium,exact_latent,4000,2,3,5,0
mueller_brown,iid_equilibrium,exact_latent,8000,2,3,5,0
mueller_brown,iid_equilibrium,exact_latent,16000,2,3,6,0
mueller_brown,iid_equilibrium,exact_latent,32000,2,3,8,0
mueller_brown,iid_equilibrium,exact_latent,250,3,3,3,0
mueller_brown,iid_equilibrium,exact_latent,500,3,3,4,0
mueller_brown,iid_equilibrium,exact_latent,1000,3,3,4,0
mueller_brown,iid_equilibrium,exact_latent,2000,3,3,4,0
mueller_brown,iid_equilibrium,exact_latent,4000,3,3,4,0
mueller_brown,iid_equilibrium,exact_latent,8000,3,3,5,0
mueller_brown,iid_equilibrium,exact_latent,16000,3,3,9,0
mueller_brown,iid_equilibrium,exact_latent,32000,3,3,8,0
mueller_brown,iid_equilibrium,exact_latent,250,4,3,3,0
mueller_brown,iid_equilibrium,exact_latent,500,4,3,3,0
mueller_brown,iid_equilibrium,exact_latent,1000,4,3,4,0
mueller_brown,iid_equilibrium,exact_latent,2000,4,3,4,0
mueller_brown,iid_equilibrium,exact_latent,4000,4,3,5,0
mueller_brown,iid_equilibrium,exact_latent,8000,4,3,5,0
mueller_brown,iid_equilibrium,exact_latent,16000,4,3,7,0
mueller_brown,iid_equilibrium,exact_latent,32000,4,3,8,0
mueller_brown,iid_equilibrium,exact_latent,250,5,3,3,0
mueller_brown,iid_equilibrium,exact_latent,500,5,3,3,0
mueller_brown,iid_equilibrium,exact_latent,1000,5,3,4,0
mueller_brown,iid_equilibrium,exact_latent,2000,5,3,4,0
mueller_brown,iid_equilibrium,exact_latent,4000,5,3,4,0
mueller_brown,iid_equilibrium,exact_latent,8000,5,3,7,0
mueller_brown,iid_equilibrium,exact_latent,16000,5,3,5,0
mueller_brown,iid_equilibrium,exact_latent,32000,5,3,8,0
mueller_brown,iid_equilibrium,exact_latent,250,6,3,2,0
mueller_brown,iid_equilibrium,exact_latent,500,6,3,4,0
mueller_brown,iid_equilibrium,exact_latent,1000,6,3,4,0
mueller_brown,iid_equilibrium,exact_latent,2000,6,3,4,0
mueller_brown,iid_equilibrium,exact_latent,4000,6,3,5,0
mueller_brown,iid_equilibrium,exact_latent,8000,6,3,5,0
mueller_brown,iid_equilibrium,exact_latent,16000,6,3,7,0
mueller_brown,iid_equilibrium,exact_latent,32000,6,3,7,0
mueller_brown,iid_equilibrium,exact_latent,250,7,3,3,0
mueller_brown,iid_equilibrium,exact_latent,500,7,3,3,0
mueller_brown,iid_equilibrium,exact_latent,1000,7,3,4,0
mueller_brown,iid_equilibrium,exact_latent,2000,7,3,4,0
mueller_brown,iid_equilibrium,exact_latent,4000,7,3,4,0
mueller_brown,iid_equilibrium,exact_latent,8000,7,3,6,0
mueller_brown,iid_equilibrium,exact_latent,16000,7,3,6,0
mueller_brown,iid_equilibrium,exact_latent,32000,7,3,5,0
mueller_brown,iid_equilibrium,exact_latent,250,8,3,2,0
