potential,mode,method,n_frames,stride,n_trajs,seed,k_true,k_visited,min_basin_frac,k_bic,ari_bic,nmi_bic,hit_ceiling_bic,k_aic,ari_aic,nmi_aic,hit_ceiling_aic,k_icl,ari_icl,nmi_icl,hit_ceiling_icl,k_silhouette,ari_silhouette,nmi_silhouette,hit_ceiling_silhouette,k_elbow_gap,ari_elbow_gap,nmi_elbow_gap,hit_ceiling_elbow_gap,ari_oracle_k,nmi_oracle_k,pop_l1_bic,bic_curve,runtime_s
mueller_brown,short,pca,250,10,1,0,3,1,0.0,1,1.0,1.0,0,14,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,"{""1"": 1276.3498839543904, ""2"": 1287.2166031910856, ""3"": 1292.2316175484368, ""4"": 1316.0755931352376, ""5"": 1339.2561719687121, ""6"": 1364.33133361998, ""7"": 1387.8526755181258, ""8"": 1410.8893335038024, ""9"": 1432.1960642201734, ""10"": 1444.7007179943425, ""11"": 1475.3258882000562, ""12"": 1490.945549109643, ""13"": 1514.1955090164042, ""14"": 1517.5811465211495, ""15"": 1548.9341155722273}",1.6258530616760254
mueller_brown,short,pca,250,10,1,1,3,2,0.0,6,0.2577789161780311,0.4375583822565995,0,12,0.1486367620806248,0.37547881895701907,0,5,0.2949372830176006,0.46590771785965324,0,3,0.3865968996362428,0.5044040173042852,0,2,0.5863492385538849,0.564255080908446,0,0.3865968996362428,0.5044040173042852,0.9359999999999999,"{""1"": 1683.2798323842644, ""2"": 1234.6929976732138, ""3"": 1101.0967443076943, ""4"": 1013.6981202448853, ""5"": 985.4775124225637, ""6"": 978.0895633470392, ""7"": 983.5768043175694, ""8"": 991.8466468643384, ""9"": 1006.1655139048066, ""10"": 1021.0126188274799, ""11"": 1021.4275894131019, ""12"": 1032.2113351238886, ""13"": 1057.7052701524387, ""14"": 1081.6719909749033, ""15"": 1116.0234085708535}",1.0211687088012695
mueller_brown,short,pca,250,10,1,2,3,1,0.0,2,0.0,0.0,0,2,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.784,"{""1"": 1261.813622850289, ""2"": 1250.3979732922692, ""3"": 1273.9135098495287, ""4"": 1296.3231836137575, ""5"": 1325.1502207831418, ""6"": 1345.464171202165, ""7"": 1372.6624335554905, ""8"": 1378.1865954441573, ""9"": 1406.9308344653523, ""10"": 1441.0523579400744, ""11"": 1457.8064513615038, ""12"": 1482.969537127128, ""13"": 1505.4136461747753, ""14"": 1519.2901124850664, ""15"": 1554.6699339046145}",1.0918941497802734
mueller_brown,short,pca,250,10,1,3,3,2,0.0,2,0.0016989719359599192,0.008916846026233535,0,11,0.0016747329064521134,0.01289788309070715,0,1,0.0,0.0,0,2,0.0016989719359599192,0.008916846026233535,0,2,0.0016989719359599192,0.008916846026233535,0,0.0017454371066538367,0.009489575834769283,0.8959999999999999,"{""1"": 1299.828879405748, ""2"": 1271.4552981103136, ""3"": 1283.4544860244664, ""4"": 1312.1255162591208, ""5"": 1323.3840349563577, ""6"": 1345.962988882497, ""7"": 1364.9830525093805, ""8"": 1386.586376672019, ""9"": 1396.9730476984837, ""10"": 1426.5210844757487, ""11"": 1427.5052129488777, ""12"": 1459.5234616005578, ""13"": 1492.5058879264227, ""14"": 1509.765295830022, ""15"": 1519.0500850445037}",1.1641716957092285
mueller_brown,short,pca,250,10,1,4,3,1,0.0,1,1.0,1.0,0,10,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,"{""1"": 1224.4138866467856, ""2"": 1238.9891398501663, ""3"": 1260.3252403190293, ""4"": 1277.9661234901482, ""5"": 1303.8316692973528, ""6"": 1324.8386076105876, ""7"": 1351.0209216160513, ""8"": 1380.6346860828567, ""9"": 1408.8741605598088, ""10"": 1404.084181376916, ""11"": 1431.4995668644328, ""12"": 1451.3992674221847, ""13"": 1488.7363925476689, ""14"": 1521.4175455650827, ""15"": 1516.8325282980568}",0.9907019138336182
mueller_brown,short,pca,250,10,1,5,3,1,0.0,1,1.0,1.0,0,7,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,"{""1"": 1175.317619791821, ""2"": 1194.9229431345882, ""3"": 1205.3981089632978, ""4"": 1227.5589574538317, ""5"": 1253.8079974663674, ""6"": 1267.9301706296824, ""7"": 1287.2385863446746, ""8"": 1315.218354837104, ""9"": 1349.781298065372, ""10"": 1372.5199406173622, ""11"": 1393.0042268764066, ""12"": 1405.3912924483075, ""13"": 1439.0701945647802, ""14"": 1449.5515530199968, ""15"": 1488.648402978325}",1.1063652038574219
mueller_brown,short,pca,250,10,1,6,3,1,0.0,1,1.0,1.0,0,5,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,"{""1"": 1189.864257704206, ""2"": 1191.0493265072098, ""3"": 1213.9892885316017, ""4"": 1225.9422035123184, ""5"": 1245.1629706611318, ""6"": 1277.3343445659034, ""7"": 1300.469568582869, ""8"": 1315.3864288209602, ""9"": 1334.2395001781042, ""10"": 1356.7078382473733, ""11"": 1392.267276953961, ""12"": 1419.5167591189534, ""13"": 1435.897119317879, ""14"": 1435.75285733348, ""15"": 1478.4402856372462}",1.1172120571136475
mueller_brown,short,pca,250,10,1,7,3,1,0.0,1,1.0,1.0,0,13,0.0,0.0,0,1,1.0,1.0,0,4,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,"{""1"": 1171.2257044197095, ""2"": 1175.8694775130982, ""3"": 1203.3194918141119, ""4"": 1218.1645948998198, ""5"": 1251.0459143999635, ""6"": 1267.7347168160918, ""7"": 1297.3954966226536, ""8"": 1321.444454068198, ""9"": 1343.2157812243508, ""10"": 1370.0385485818115, ""11"": 1385.133206138307, ""12"": 1404.114712825495, ""13"": 1408.0672008625177, ""14"": 1443.068815974932, ""15"": 1460.7678409415394}",1.1164357662200928
mueller_brown,short,pca,250,10,1,8,3,1,0.0,2,0.0,0.0,0,5,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.8720000000000001,"{""1"": 1272.6699417918326, ""2"": 1267.295523933958, ""3"": 1279.5491666488635, ""4"": 1299.988669225273, ""5"": 1319.0568058859371, ""6"": 1341.4719060373068, ""7"": 1370.7459343860662, ""8"": 1395.1097050839699, ""9"": 1408.7430699966035, ""10"": 1441.3585198478384, ""11"": 1468.0835932782784, ""12"": 1474.6595546784251, ""13"": 1498.3801625286583, ""14"": 1534.490932634847, ""15"": 1544.0724279097726}",1.1273040771484375
mueller_brown,short,pca,250,10,1,9,3,2,0.0,6,0.20478801217865822,0.3947282133285799,0,10,0.1299369624127,0.3552080513936425,0,5,0.21619993787510386,0.40909844674608636,0,2,0.7468260971377505,0.671987983517153,0,2,0.7468260971377505,0.671987983517153,0,0.3514736503363101,0.4813980137099234,1.0,"{""1"": 1710.4921679816855, ""2"": 1206.4302639188643, ""3"": 1086.4741872116917, ""4"": 978.1450111165202, ""5"": 954.7698136463893, ""6"": 948.4674347484674, ""7"": 952.3885779305745, ""8"": 960.8888351998322, ""9"": 966.7049175817485, ""10"": 981.1949069924874, ""11"": 1005.9699275372841, ""12"": 1036.8403066705278, ""13"": 1045.1442030180472, ""14"": 1069.6548741398387, ""15"": 1097.0282448210005}",1.1366057395935059
