potential,mode,method,n_frames,stride,n_trajs,seed,k_true,k_visited,min_basin_frac,k_bic,ari_bic,nmi_bic,hit_ceiling_bic,k_aic,ari_aic,nmi_aic,hit_ceiling_aic,k_icl,ari_icl,nmi_icl,hit_ceiling_icl,k_silhouette,ari_silhouette,nmi_silhouette,hit_ceiling_silhouette,k_elbow_gap,ari_elbow_gap,nmi_elbow_gap,hit_ceiling_elbow_gap,ari_oracle_k,nmi_oracle_k,pop_l1_bic,bic_curve,runtime_s
prinz1d,short,pca,250,10,1,0,4,3,0.0,5,0.4075943124067149,0.540790694777016,0,9,0.24001931210233998,0.458412848729246,0,4,0.4300442763364783,0.5623235080573915,0,2,0.8536195989652162,0.798171324261344,0,2,0.8536195989652162,0.798171324261344,0,0.4300442763364783,0.5623235080573915,0.944,"{""1"": 938.4488888641491, ""2"": 444.1049027191791, ""3"": 325.114938367337, ""4"": 257.11827817762776, ""5"": 245.74956047262967, ""6"": 254.8766746601164, ""7"": 269.76184581749646, ""8"": 291.7463153027566, ""9"": 300.2500881884624, ""10"": 339.82976080608034, ""11"": 361.10505966965775, ""12"": 367.3094291870139, ""13"": 416.8570954618402, ""14"": 421.8600535934849, ""15"": 464.898563764741}",1.335813045501709
prinz1d,short,pca,250,10,1,1,4,2,0.0,5,0.4095750338646655,0.5697044179181805,0,11,0.23160687815208955,0.45800037504237306,0,3,0.7513307293588852,0.7455806947267495,0,2,0.9681285192871758,0.9406132531717487,0,2,0.9681285192871758,0.9406132531717487,0,0.516166514907221,0.6431660709026558,0.9680000000000001,"{""1"": 1190.5545312724919, ""2"": 418.36429708415363, ""3"": 279.96017349030103, ""4"": 249.22058756456425, ""5"": 227.26023913779346, ""6"": 237.69742577014492, ""7"": 249.7458865721269, ""8"": 273.08376185686507, ""9"": 293.25394385090993, ""10"": 317.23164836236015, ""11"": 326.8592672432989, ""12"": 351.33642235614127, ""13"": 376.1846740301131, ""14"": 390.43586648435644, ""15"": 413.30719817793334}",0.8413500785827637
prinz1d,short,pca,250,10,1,2,4,4,0.04,7,0.57479185985899,0.7747386568460337,0,10,0.464343147297436,0.6990061282531131,0,5,0.7667001989872968,0.8177772390587525,0,3,0.9140582921905828,0.911956794417094,0,3,0.9140582921905828,0.911956794417094,0,0.8523603797826281,0.8648087732164358,0.8640000000000001,"{""1"": 1731.1676422910834, ""2"": 884.113934196033, ""3"": 571.3835629569619, ""4"": 512.2746574691138, ""5"": 458.21837606677036, ""6"": 462.73546724497623, ""7"": 455.01781066853266, ""8"": 465.3720009771362, ""9"": 486.6794129488693, ""10"": 503.7550918970056, ""11"": 528.2716048709718, ""12"": 552.8447173011488, ""13"": 578.058105567829, ""14"": 599.8378599938289, ""15"": 611.2331401752823}",0.8282785415649414
prinz1d,short,pca,250,10,1,3,4,4,0.04,8,0.5019069763597303,0.691776557497223,0,12,0.36029471608116465,0.6338884448330441,0,6,0.7491332068034563,0.7887646526186358,0,4,0.9440574693100076,0.916736879558825,0,3,0.925460885057084,0.9033231462598266,0,0.9440574693100076,0.916736879558825,0.8,"{""1"": 1674.277935582895, ""2"": 1029.4083252985372, ""3"": 694.6601213243567, ""4"": 584.6250423475515, ""5"": 462.526703951788, ""6"": 453.64982102611236, ""7"": 430.82127684496857, ""8"": 425.76022649284033, ""9"": 433.69750687823273, ""10"": 452.2694016266919, ""11"": 480.3429110320054, ""12"": 472.80325418196935, ""13"": 529.1049598859096, ""14"": 558.1187761040121, ""15"": 575.9073969940962}",0.784111738204956
prinz1d,short,pca,250,10,1,4,4,4,0.008,6,0.49677443392263576,0.6901410847118478,0,14,0.27599552952643697,0.5689848195128331,0,5,0.5257218954201205,0.7096471403439398,0,3,0.9823656475702058,0.9610640137312135,0,3,0.9823656475702058,0.9610640137312135,0,0.6687225856154128,0.7859792154786797,0.736,"{""1"": 1451.8340218632516, ""2"": 933.3634617319769, ""3"": 481.34281549874106, ""4"": 413.41495561220853, ""5"": 336.0113136051398, ""6"": 311.523286785914, ""7"": 317.7025695081064, ""8"": 326.02852459823293, ""9"": 338.17333103563317, ""10"": 359.25760578055997, ""11"": 377.0235064767779, ""12"": 400.69846883702894, ""13"": 424.7463980319449, ""14"": 433.2743154635799, ""15"": 457.88827922526923}",0.7902441024780273
prinz1d,short,pca,250,10,1,5,4,4,0.088,7,0.5510282737965368,0.7380483346700084,0,12,0.3453184402620224,0.6402124172610014,0,7,0.5510282737965368,0.7380483346700084,0,3,0.8707734269619354,0.855363607917582,0,3,0.8707734269619354,0.855363607917582,0,0.6616479571268663,0.7807302359645445,0.616,"{""1"": 1793.391157247246, ""2"": 942.7349180668563, ""3"": 517.2722180024514, ""4"": 453.49799095312375, ""5"": 406.2247969505254, ""6"": 386.0715845604937, ""7"": 361.85211138977934, ""8"": 362.5580113355045, ""9"": 388.49249034948093, ""10"": 403.4320960266135, ""11"": 432.0747354847181, ""12"": 437.3072949891753, ""13"": 460.78142031053227, ""14"": 490.518105604865, ""15"": 518.6349481997127}",0.6629912853240967
prinz1d,short,pca,250,10,1,6,4,2,0.0,5,0.36912908074367407,0.5567927205141182,0,5,0.36912908074367407,0.5567927205141182,0,3,0.5742529320156149,0.6433548769966995,0,2,0.952366075339692,0.9168571277714381,0,2,0.952366075339692,0.9168571277714381,0,0.4871051975804823,0.6336325366764398,1.0719999999999998,"{""1"": 804.4914456247902, ""2"": 280.68289537208034, ""3"": 131.39970276811894, ""4"": 117.69414310183214, ""5"": 104.48284474812282, ""6"": 127.67494328224319, ""7"": 152.3814590676916, ""8"": 177.15142175071935, ""9"": 199.28339531138909, ""10"": 211.14790810708905, ""11"": 241.6241408218461, ""12"": 266.6918511840347, ""13"": 289.59735697690144, ""14"": 318.0831862663957, ""15"": 343.8811398072369}",0.9546713829040527
prinz1d,short,pca,250,10,1,7,4,4,0.008,7,0.5183216292125667,0.6922701679047785,0,15,0.2632847578920305,0.5711128143633845,1,6,0.5633142057259068,0.7355578343913616,0,3,0.9678888038248425,0.9422745289604284,0,3,0.9678888038248425,0.9422745289604284,0,0.7006532706791883,0.7971447550701994,0.7679999999999999,"{""1"": 1502.6643365786354, ""2"": 1013.9578226326734, ""3"": 564.8160699835701, ""4"": 466.9633730888506, ""5"": 407.9686857524789, ""6"": 358.54527813631796, ""7"": 349.56750984936275, ""8"": 368.8808350138728, ""9"": 349.7300981913238, ""10"": 367.94971295237804, ""11"": 393.672761314598, ""12"": 405.488013923754, ""13"": 435.80227470825906, ""14"": 457.3236472088744, ""15"": 465.26468340687984}",0.834758996963501
prinz1d,short,pca,250,10,1,8,4,4,0.048,6,0.5887024397349339,0.7681226674504603,0,14,0.3149229891932197,0.6314004555049654,0,6,0.5887024397349339,0.7681226674504603,0,3,0.9613583103283371,0.9480275354728536,0,3,0.9613583103283371,0.9480275354728536,0,0.9657306001322663,0.9352728530818504,0.6799999999999999,"{""1"": 1679.1174702834323, ""2"": 1168.949733852352, ""3"": 687.8713280856762, ""4"": 581.6449646495537, ""5"": 526.7186517313473, ""6"": 460.1230686362219, ""7"": 478.4355505590171, ""8"": 479.79235601931146, ""9"": 491.023813594885, ""10"": 507.99527928586656, ""11"": 528.7743381430387, ""12"": 554.3167879881657, ""13"": 574.8814775575926, ""14"": 588.1411375442053, ""15"": 631.2426165029013}",0.7360742092132568
prinz1d,short,pca,250,10,1,9,4,4,0.132,8,0.5506563028627719,0.7373381683270667,0,15,0.30954663708324937,0.6300873353218447,1,8,0.5506563028627719,0.7373381683270667,0,4,0.9345846218544102,0.9183393664422772,0,3,0.8185349785397074,0.8292945780518316,0,0.9345846218544102,0.9183393664422772,0.6320000000000001,"{""1"": 1840.0080663454405, ""2"": 1049.393104485896, ""3"": 708.8433134364493, ""4"": 571.4142845112872, ""5"": 505.1956415871134, ""6"": 476.9642962743211, ""7"": 462.2908821193585, ""8"": 450.63181936460916, ""9"": 471.8164766555543, ""10"": 492.71282907098737, ""11"": 514.6284552413813, ""12"": 539.0930906157836, ""13"": 554.7408842012217, ""14"": 570.7770537618611, ""15"": 569.2530063489116}",0.7211654186248779
