potential,n_frames,lag,seed,n_usable_pairs,k_true,k_bic,ari_bic,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,500,5,0,495,4,1,0.0,0.04488397127790078,False,4.463131904602051
prinz1d,500,5,1,495,4,1,0.0,0.0635737492567067,False,3.7889463901519775
prinz1d,500,5,2,495,4,1,0.0,0.15493077324074445,False,3.9305546283721924
prinz1d,500,5,3,495,4,1,0.0,0.08335873421718792,False,4.014733791351318
prinz1d,500,5,4,495,4,1,0.0,0.026456922780057294,False,3.8566722869873047
prinz1d,500,5,5,495,4,1,0.0,0.22561252140950136,False,3.608867645263672
prinz1d,500,5,6,495,4,1,0.0,0.0397031634211397,False,3.6746182441711426
prinz1d,500,5,7,495,4,1,0.0,0.1548130162620439,False,3.6466212272644043
prinz1d,500,5,8,495,4,1,0.0,0.08411064694092364,False,3.681840419769287
prinz1d,500,5,9,495,4,1,0.0,0.09970040106178918,False,3.6426281929016113
prinz1d,500,10,0,490,4,1,0.0,0.005123380632288326,False,1.0656588077545166
prinz1d,500,10,1,490,4,1,0.0,0.01266846113611049,False,1.1323895454406738
prinz1d,500,10,2,490,4,1,0.0,0.021137554438480047,False,1.2028617858886719
prinz1d,500,10,3,490,4,1,0.0,0.030054141753850547,False,1.0267271995544434
prinz1d,500,10,4,490,4,1,0.0,0.004810185002390419,False,1.102912425994873
prinz1d,500,10,5,490,4,1,0.0,0.026893187472481563,False,1.0965392589569092
prinz1d,500,10,6,490,4,1,0.0,0.017876534107494957,False,1.22017502784729
prinz1d,500,10,7,490,4,1,0.0,0.021689264443470507,False,1.1708307266235352
prinz1d,500,10,8,490,4,1,0.0,0.11140736509234558,False,1.0937755107879639
prinz1d,500,10,9,490,4,1,0.0,0.0639847701711171,False,1.6100256443023682
prinz1d,500,20,0,480,4,1,0.0,0.035447431461444766,False,1.2577452659606934
prinz1d,500,20,1,480,4,1,0.0,0.056581575917845045,False,1.189800500869751
prinz1d,500,20,2,480,4,1,0.0,0.0239361840098968,False,1.6328577995300293
prinz1d,500,20,3,480,4,1,0.0,0.012883932644391841,False,1.5163922309875488
prinz1d,500,20,4,480,4,1,0.0,0.063347879282724,False,1.8184497356414795
prinz1d,500,20,5,480,4,1,0.0,0.05864296830229881,False,1.4986779689788818
prinz1d,500,20,6,480,4,1,0.0,0.02074639371774795,False,1.2552354335784912
prinz1d,500,20,7,480,4,1,0.0,0.007326750498029318,False,1.098069429397583
prinz1d,500,20,8,480,4,1,0.0,0.01383163452662482,False,1.0969598293304443
prinz1d,500,20,9,480,4,1,0.0,0.01580994500930539,False,1.3167619705200195
prinz1d,500,50,0,450,4,1,0.0,0.037151516821836206,False,1.1237328052520752
prinz1d,500,50,1,450,4,1,0.0,0.009923585995949082,False,1.0249693393707275
prinz1d,500,50,2,450,4,1,0.0,0.060377674616411275,False,1.109278678894043
prinz1d,500,50,3,450,4,1,0.0,0.04335739028235161,False,1.1784586906433105
prinz1d,500,50,4,450,4,1,0.0,0.07310542773025461,False,1.1328074932098389
prinz1d,500,50,5,450,4,1,0.0,0.036791732416831056,False,1.1000893115997314
prinz1d,500,50,6,450,4,1,0.0,0.09105802157008655,False,1.1256608963012695
prinz1d,500,50,7,450,4,1,0.0,0.009391734956293337,False,1.1633250713348389
prinz1d,500,50,8,450,4,1,0.0,0.019631640127306234,False,1.1263606548309326
prinz1d,500,50,9,450,4,1,0.0,0.1017570072842633,False,1.0513503551483154
prinz1d,500,100,0,400,4,1,0.0,0.02661880753900659,False,1.1480886936187744
prinz1d,500,100,1,400,4,1,0.0,0.037959105025082464,False,1.1254379749298096
prinz1d,500,100,2,400,4,1,0.0,0.02775368550516872,False,1.051419973373413
prinz1d,500,100,3,400,4,1,0.0,0.031038340709208006,False,1.2913239002227783
prinz1d,500,100,4,400,4,1,0.0,0.03649710515005535,False,1.2314732074737549
prinz1d,500,100,5,400,4,1,0.0,0.044393075388058936,False,1.1103477478027344
prinz1d,500,100,6,400,4,1,0.0,0.018840331170665386,False,1.1000888347625732
prinz1d,500,100,7,400,4,1,0.0,0.0534065295262211,False,1.0325510501861572
prinz1d,500,100,8,400,4,1,0.0,0.012532490788531293,False,1.0887548923492432
prinz1d,500,100,9,400,4,1,0.0,0.025659119468894518,False,1.1314148902893066
prinz1d,1000,5,0,995,4,2,0.44676662733936795,0.32045992837426196,False,1.5109167098999023
prinz1d,1000,5,1,995,4,2,0.4892003119106266,0.3551200352719031,False,1.4847030639648438
prinz1d,1000,5,2,995,4,2,0.47389448387707406,0.3189257260345882,False,1.4804320335388184
prinz1d,1000,5,3,995,4,2,0.4661005042126438,0.39121706598319095,False,1.9573218822479248
prinz1d,1000,5,4,995,4,2,0.474856309324906,0.35200825913533007,False,1.5338187217712402
prinz1d,1000,5,5,995,4,2,0.4893367611010448,0.4446394302858922,False,1.6244235038757324
prinz1d,1000,5,6,995,4,2,0.464191339629762,0.2769155730249763,False,1.5977716445922852
